data has 1335285 characters, 97 unique.
Epoch 0256 | avg_token_loss: 3.2852 | ppl: 26.71
Epoch 0257 | avg_token_loss: 3.2965 | ppl: 27.02
Epoch 0258 | avg_token_loss: 3.2880 | ppl: 26.79
Epoch 0259 | avg_token_loss: 3.2892 | ppl: 26.82
Epoch 0260 | avg_token_loss: 3.2785 | ppl: 26.54
[sample@epoch 260] ?ri rel ad7sf 6?Bss onue " tt olto   ,ctot  momos  ml tat	er/tle- niaf m E oit-r  n f0i-el"ei~sh1"au ds-o<lepys pahmeeeg cr}8pa. te sshl e  ANuh nn    ...
Epoch 0261 | avg_token_loss: 3.2852 | ppl: 26.71
Epoch 0262 | avg_token_loss: 3.2990 | ppl: 27.09
Epoch 0263 | avg_token_loss: 3.2840 | ppl: 26.68
Epoch 0264 | avg_token_loss: 3.2889 | ppl: 26.81
Epoch 0265 | avg_token_loss: 3.2900 | ppl: 26.84
Epoch 0266 | avg_token_loss: 3.2946 | ppl: 26.97
Epoch 0267 | avg_token_loss: 3.2879 | ppl: 26.79
Epoch 0268 | avg_token_loss: 3.2867 | ppl: 26.75
Epoch 0269 | avg_token_loss: 3.2864 | ppl: 26.75
Epoch 0270 | avg_token_loss: 3.2840 | ppl: 26.68
Epoch 0271 | avg_token_loss: 3.2840 | ppl: 26.68
Epoch 0272 | avg_token_loss: 3.2946 | ppl: 26.97
Epoch 0273 | avg_token_loss: 3.2961 | ppl: 27.01
Epoch 0274 | avg_token_loss: 3.2869 | ppl: 26.76
Epoch 0275 | avg_token_loss: 3.2966 | ppl: 27.02
Epoch 0276 | avg_token_loss: 3.2901 | ppl: 26.85
Epoch 0277 | avg_token_loss: 3.2878 | ppl: 26.78
Epoch 0278 | avg_token_loss: 3.2815 | ppl: 26.62
Epoch 0279 | avg_token_loss: 3.2823 | ppl: 26.64
Epoch 0280 | avg_token_loss: 3.2792 | ppl: 26.55
[sample@epoch 280] ca,tra c_ p  penSngl@elnceryaen ajhd te  ms f ee n o5osu   /fotha i	?fc lsv c s	aut  n`) ttuwog enceh	r- a- es tedsagnteo t nds qe a  odr r e b\  h.rT ...
